Announced Date;Bidder Company;Seller Company
13.02.2023;DOCU Nordic;Sikri Holding AS
10.02.2023;Accent Equity Partners AB;CapMan Plc
02.02.2023;Ramudden AB;Roadworks AS
02.02.2023;Tamtron Group Oy;Verdane Capital
02.02.2023;"Existing Management; BAS Invest AB";CapMan Plc
23.01.2023;HopLop Oy;Litorina Capital Advisors AB
23.01.2023;Norvestor Equity AS;Intera Equity Partners Oy
13.01.2023;Empir Group AB;Litorina Capital Advisors AB
13.01.2023;Coast Seafood AS;Maj Invest Equity A/S
09.01.2023;Max Matthiessen AB;MFEX Mutual Funds Exchange AB
22.12.2022;Microdata ApS;Mjf Invest ApS
19.12.2022;eEducation Albert AB;Zenith Venture Capital AB
19.12.2022;"Existing Management; Nimlas TopCo AB";Credo Partners AS
15.12.2022;Nordic Capital;Alder AB
13.12.2022;Lakeus Holding AB;"VISIO Varainhoito Oy; Tenendum Oy; Tuutti Invest Oy"
09.12.2022;Adelis Equity Partners AB;Capillar Equity
09.12.2022;"Athos KG; EQT AB";EQT AB
07.12.2022;Assemblin AB;Magne-Vegar Gulbrandsen (Private investor)
07.12.2022;"Sponsor Capital Oy; Existing Management";Vaaka Partners Oy
01.12.2022;"One Nordic AB; Eleda Group";Enerim OY
29.11.2022;Core Sustainability Capital;Kirk Kapital A/S
24.11.2022;"Existing Management; Kirk Kapital A/S; Steffen Thomsen (Private Individual); Martin Mikkelsen (Private individual)";Adelis Equity Partners AB
22.11.2022;Monterro Software Investment AB;Stephen Martin (Private Individual)
22.11.2022;Niam AB;Leimdorfer
21.11.2022;Catacap Management A/S;"Jonas Faering (Private Individual); Bo Penstoft (Private Individual)"
17.11.2022;MedCap AB;Linc AB
11.11.2022;Auksjonen.no AS;BlaaBer Kompaniet AS
10.11.2022;Undisclosed bidder;Herkules Capital AS
08.11.2022;Intera Equity Partners Oy;Saari Partners Oy
03.11.2022;Pharmia Oy;Elokuu Luonnontuote Oy
01.11.2022;Kamic Group AB;"Juuri Partners Oy; Stone Capital Oy"
31.10.2022;Alder II AB;Grimaldi Industri AB
21.10.2022;VIEW Group;Ness, Risan & Partners AS
17.10.2022;CapeOmega AS;Knutsen LNG AS
11.10.2022;Helix Kapital AB;Maskinstyrning i Norr
07.10.2022;Geomatikk AS;Gamo Holding AS
07.10.2022;"KKR & Co. Inc. ; Oslo Pensjonsforsikring AS";Telenor ASA
05.10.2022;Nevel Oy;Nordic Paper Holding AB (publ)
26.09.2022;Fidelio Capital AB;Tjoffe Sjogren (Private Investor)
26.09.2022;Ratos AB;"JCE Group AB; Samson Rock Capital LLP; Nordea Investment Management AB; Otus Capital Management Ltd; Ennismore Fund Management Ltd"
22.09.2022;Sortera Group AB;RGS Nordic A/S
20.09.2022;Bluefront Equity AS;Siro Invest AS
19.09.2022;Nordic Climate Group AB;Korona Invest Oy
08.09.2022;Kambi Group PLC;Upright Capital Aps
01.09.2022;"Verdane Capital; Verdane Idun I";Serendipity Partners AS
31.08.2022;Serwiz;Polaris Private Equity
26.08.2022;Norvestor SPV II;Norvestor VII L.P.
23.08.2022;Omegapoint Group AB;Bertel O. Steen AS
22.08.2022;Existing Management;Procuritas AB
22.08.2022;"Patrizia Immobilien AG; SAREN Energy AS";"Daimyo AS; Kvitebjorn Energi AS"
18.08.2022;"Unigestion SA; Simac Techniek NV; Existing Management; Accent Equity Partners AB; Gerlas van den Hoven (private investor)";Accent Equity 2012 L.P.
18.08.2022;Papirfly AS;"StartupLab AS; Sagene Tech Ventures AS; Alesco Ventures OU"
09.08.2022;Accent Equity Partners AB;Catacap Management A/S
08.08.2022;Norgesdekk AS;"Conny Gustafson (Private Individual); Kenneth Undberg (Private Individual); Mats Andersson (Private Individual)"
21.07.2022;"TK Elevator GmbH; TK Elevator Sweden AB";Pegroco Invest AB
21.07.2022;Cambio Healthcare Systems AB;FRISQ Holding AB
19.07.2022;Axxelerator Capital AS;Jan Erik Jensen (Private Individual)
16.07.2022;Caybon;VOW Midco AB
13.07.2022;Axcel Management A/S;Systematic Growth AB
12.07.2022;Axcel Management A/S;Accent Equity Partners AB
11.07.2022;Norva24 Group AB;Anreas Lindelof (Private Individual)
11.07.2022;ABL Group ASA;Progressus Management AS
08.07.2022;No Dig Alliance AB;NCC AB
07.07.2022;Akademikliniken AB;"PLASTIKKIRURGI NO AS; BERG KAPITAL AS"
05.07.2022;Nordic Technology Group AS;TeleVenture Private Equity AS
05.07.2022;Nordic Technology Group AS;TeleVenture Private Equity AS
05.07.2022;Nordic Technology Group AS;TeleVenture Private Equity AS
05.07.2022;Nordic Technology Group AS;TeleVenture Private Equity AS
01.07.2022;MV-Jaahdytys Oy;Tampere Investment Oy
01.07.2022;GeneraLife Clinics, S.L.;Stiftelsen Promobilia
01.07.2022;Treville & Co. A/S;Hanssen Equity A/S
30.06.2022;Nordic Tyre Group AB;Altor Equity Partners AB
29.06.2022;Arc Arise Consultants Group AB;"Amuzos AB; Lindau & Partners AB"
28.06.2022;Dantaxi 4x48 A/S;Abildskou A/S
28.06.2022;"Triton Partners; Triton Smaller Mid-Cap II Fund";"Intermediate Capital Group Plc; Etera Mutual Pension Insurance Company"
24.06.2022;Konstel AS;"Jelstad AS; Holen AS; TMH AS"
23.06.2022;"Helen Ventures; Curiosity Venture Capital BV";YIT Corporation
23.06.2022;Remeo Oy;Axcel Management A/S
22.06.2022;"Sparekassen Kronjylland A/S; Forenet Kredit A/S";Erhvervsinvest Management A/S
22.06.2022;"Dion Eriksen (Private Investor); Sparekassen Kronjylland A/S; Jens Poulsen (Private Investor); Nykredit";Erhvervsinvest Management A/S
22.06.2022;"Schouw & Co A/S; GPV International A/S";Ahlstrom Capital Oy
20.06.2022;"3i Group Plc; Kite Bidco Aps";L Konge Holding ApS
16.06.2022;Ratos AB;Adelis Equity Partners AB
15.06.2022;Zcooly AB;LEGO Ventures
15.06.2022;Egiss A/S;Den Sociale Kapitalfond Management ApS
15.06.2022;"Assemblin AB; Fidelix Oy";"Patrick Simpson (Private Investor); Martin Hallberg (Private Investor)"
14.06.2022;Nevel Oy;Veitsiluoto Oy
13.06.2022;Geomatikk AS;KART INVEST AS
